Word,Lg10WF
aahed,0.3010299956639812
aahing,0.47712125471966244
aahs,0.7781512503836436
aal,0.3010299956639812
aarrgh,0.3010299956639812
aarrghh,0.3010299956639812
aas,0.47712125471966244
aba,0.6989700043360189
abaca,0.3010299956639812
abacuses,0.3010299956639812
abaft,0.47712125471966244
abalones,0.8450980400142568
abandoner,0.3010299956639812
abase,0.6020599913279624
abastard,0.3010299956639812
abate,0.7781512503836436
abated,0.6989700043360189
abatement,0.6020599913279624
abates,0.47712125471966244
abating,0.3010299956639812
abattoir,0.9030899869919435
abay,0.6020599913279624
abb,0.6020599913279624
abbas,0.7781512503836436
abbe,0.47712125471966244
abbess,0.47712125471966244
abbesses,0.3010299956639812
abbreviate,0.3010299956639812
abd,0.3010299956639812
abdicated,0.9030899869919435
abdicates,0.3010299956639812
abdicating,0.6020599913279624
abdication,0.8450980400142568
abdomens,0.6020599913279624
abdominals,0.9030899869919435
abducts,0.9542425094393249
abeam,0.9030899869919435
abele,0.3010299956639812
abernethy,0.3010299956639812
aberrations,0.9542425094393249
abet,0.7781512503836436
abetted,0.9542425094393249
abettor,0.3010299956639812
abeyance,0.47712125471966244
abhorred,0.9030899869919435
abhors,0.6989700043360189
abided,0.6020599913279624
abiders,0.3010299956639812
abides,0.6989700043360189
abiogenist,0.6020599913279624
abit,0.3010299956639812
abjectly,0.6020599913279624
abjure,0.3010299956639812
ablate,0.3010299956639812
ablated,0.3010299956639812
ablation,0.3010299956639812
abler,0.3010299956639812
ablest,0.47712125471966244
abloom,0.6020599913279624
ablution,0.6020599913279624
ablutions,0.6989700043360189
abnormity,0.3010299956639812
abo,0.8450980400142568
abogado,0.47712125471966244
abolishes,0.3010299956639812
abolishing,0.47712125471966244
abolitionism,0.3010299956639812
abomasum,0.3010299956639812
abominably,0.9542425094393249
abominate,0.6020599913279624
abominations,0.9030899869919435
aboriginally,0.3010299956639812
aboriginals,0.3010299956639812
aborigine,0.6989700043360189
aborning,0.3010299956639812
abortionist,0.6989700043360189
abortionists,0.3010299956639812
abortive,0.3010299956639812
abortively,0.3010299956639812
aborts,0.3010299956639812
abounded,0.6020599913279624
abounding,0.6989700043360189
abouts,0.9542425094393249
aboveground,0.9030899869919435
abovementioned,0.3010299956639812
abrade,0.3010299956639812
abraded,0.7781512503836436
abraid,0.3010299956639812
abrasiveness,0.47712125471966244
abrasives,0.6989700043360189
abreaction,0.3010299956639812
abridge,0.3010299956639812
abridgement,0.3010299956639812
abridging,0.47712125471966244
abrogate,0.3010299956639812
abrogated,0.47712125471966244
abrogating,0.3010299956639812
abruption,0.8450980400142568
abruptness,0.6989700043360189
abscam,0.6020599913279624
abscessed,0.6020599913279624
abscesses,0.9030899869919435
abscond,0.7781512503836436
absconded,0.7781512503836436
absconder,0.3010299956639812
absconders,0.47712125471966244
absconding,0.6020599913279624
abseiling,0.3010299956639812
absenteeism,0.7781512503836436
absentees,0.6989700043360189
absenting,0.47712125471966244
absentminded,0.6020599913279624
absentmindedness,0.3010299956639812
absinthes,0.6020599913279624
absinthium,0.3010299956639812
absit,0.3010299956639812
absoluteness,0.3010299956639812
absolutions,0.3010299956639812
absolver,0.6989700043360189
absolves,0.6989700043360189
absolving,0.7781512503836436
absorbent,0.9542425094393249
absorber,0.6020599913279624
absorbers,0.9542425094393249
absorbtion,0.6020599913279624
absorptions,0.3010299956639812
abstained,0.6989700043360189
abstainers,0.3010299956639812
abstaining,0.9542425094393249
abstains,0.47712125471966244
abstention,0.8450980400142568
abstentions,0.3010299956639812
abstinent,0.6020599913279624
abstracted,0.6020599913279624
abstracting,0.3010299956639812
abstractionist,0.3010299956639812
abstractions,0.7781512503836436
abstractly,0.47712125471966244
abstracts,0.9030899869919435
abstruse,0.6020599913279624
absurdist,0.3010299956639812
absurdities,0.8450980400142568
abulia,0.3010299956639812
abusiveness,0.3010299956639812
abut,0.8450980400142568
abutment,0.8450980400142568
abutments,0.3010299956639812
abuts,0.47712125471966244
abutting,0.3010299956639812
abuzz,0.47712125471966244
abysmally,0.3010299956639812
abyssal,0.3010299956639812
abysses,0.47712125471966244
abyssinia,0.9542425094393249
abyssus,0.6989700043360189
acacia,0.9542425094393249
academe,0.47712125471966244
